			"AcceptedTaxonID","DistributionElement","StandardInUse","DistributionStatus"

					5,"","TDWG Level 4 code","native"

					7,"","TDWG Level 4 code","native"

					8,"","TDWG Level 4 code","native"

					8,"","TDWG Level 4 code","native"

					9,"","TDWG Level 4 code","native"

					9,"","TDWG Level 4 code","native"

					9,"","TDWG Level 4 code","native"

					9,"","TDWG Level 4 code","native"

					9,"","TDWG Level 4 code","native"

					9,"","TDWG Level 4 code","native"

					12,"","TDWG Level 4 code","native"

					12,"","TDWG Level 4 code","native"

					12,"","TDWG Level 4 code","native"

					12,"","TDWG Level 4 code","native"

					12,"","TDWG Level 4 code","native"

					12,"","TDWG Level 4 code","native"

					12,"","TDWG Level 4 code","native"

					12,"","TDWG Level 4 code","native"

					13,"","TDWG Level 4 code","native"

					14,"","TDWG Level 4 code","native"

					14,"","TDWG Level 4 code","native"

					15,"","TDWG Level 4 code","native"

					15,"","TDWG Level 4 code","native"

					15,"","TDWG Level 4 code","native"

					17,"","TDWG Level 4 code","native"

					17,"","TDWG Level 4 code","native"

					19,"","TDWG Level 4 code","native"

					19,"","TDWG Level 4 code","native"

					19,"","TDWG Level 4 code","native"

					21,"","TDWG Level 4 code","native"

					23,"","TDWG Level 4 code","native"

					25,"","TDWG Level 4 code","native"

					25,"","TDWG Level 4 code","native"

					26,"","TDWG Level 4 code","native"

					26,"","TDWG Level 4 code","native"

					27,"","TDWG Level 4 code","native"

					28,"","TDWG Level 4 code","native"

					29,"","TDWG Level 4 code","native"

					29,"","TDWG Level 4 code","native"

					29,"","TDWG Level 4 code","native"

					29,"","TDWG Level 4 code","native"

					31,"","TDWG Level 4 code","native"

					32,"","TDWG Level 4 code","native"

					33,"","TDWG Level 4 code","native"

					34,"","TDWG Level 4 code","native"

					36,"","TDWG Level 4 code","native"

					38,"","TDWG Level 4 code","native"

					38,"","TDWG Level 4 code","native"

					38,"","TDWG Level 4 code","native"

					38,"","TDWG Level 4 code","native"

					38,"","TDWG Level 4 code","native"

					38,"","TDWG Level 4 code","native"

					38,"","TDWG Level 4 code","native"

					38,"","TDWG Level 4 code","native"

					38,"","TDWG Level 4 code","native"

					40,"","TDWG Level 4 code","native"

					41,"","TDWG Level 4 code","native"

					42,"","TDWG Level 4 code","native"

					44,"","TDWG Level 4 code","native"

					46,"","TDWG Level 4 code","native"

					46,"","TDWG Level 4 code","native"

					48,"","TDWG Level 4 code","native"

					48,"","TDWG Level 4 code","native"

					48,"","TDWG Level 4 code","native"

					48,"","TDWG Level 4 code","native"

					49,"","TDWG Level 4 code","native"

					51,"","TDWG Level 4 code","native"

					57,"","TDWG Level 4 code","native"

					58,"","TDWG Level 4 code","native"

					59,"","TDWG Level 4 code","native"

					64,"","TDWG Level 4 code","native"

					65,"","TDWG Level 4 code","native"

					67,"","TDWG Level 4 code","native"

					68,"","TDWG Level 4 code","native"

